Season,Date,Team1,Team2,Venue,City,Toss(Won),Toss(Decision),BatFirst,BowlFirst,SuperOver,Winner,"WonBy(Runs,Wickets)","Won(Toss,Match)",POM
2021,2021-04-11,KKR,SH,"MA Chidambaram Stadium, Chepauk, Chennai",Chennai,SH,field,KKR,SH,N,KKR,10.0,No,N Rana
2021,2021-04-10,CSK,DC,"Wankhede Stadium, Mumbai",Mumbai,DC,field,CSK,DC,N,DC,7.0,Yes,S Dhawan
2021,2021-04-09,MI,RCB,"MA Chidambaram Stadium, Chepauk, Chennai",Chennai,RCB,field,MI,RCB,N,RCB,2.0,Yes,HV Patel
2020/21,2020-11-10,DC,MI,Dubai International Cricket Stadium,Mumbai,DC,bat,DC,MI,N,MI,5.0,No,TA Boult
2020/21,2020-11-08,DC,SH,Sheikh Zayed Stadium,Abu Dhabi,DC,bat,DC,SH,N,DC,17.0,Yes,MP Stoinis
2020/21,2020-11-06,RCB,SH,Sheikh Zayed Stadium,Abu Dhabi,SH,field,RCB,SH,N,SH,6.0,Yes,KS Williamson
2020/21,2020-11-05,MI,DC,Dubai International Cricket Stadium,Mumbai,DC,field,MI,DC,N,MI,57.0,No,JJ Bumrah
2020/21,2020-11-03,MI,SH,Sharjah Cricket Stadium,Mumbai,SH,field,MI,SH,N,SH,10.0,Yes,S Nadeem
2020/21,2020-11-02,RCB,DC,Sheikh Zayed Stadium,Abu Dhabi,DC,field,RCB,DC,N,DC,6.0,Yes,A Nortje
2020/21,2020-11-01,KKR,RR,Dubai International Cricket Stadium,Mumbai,RR,field,KKR,RR,N,KKR,60.0,No,PJ Cummins
2020/21,2020-11-01,KXP,CSK,Sheikh Zayed Stadium,Abu Dhabi,CSK,field,KXP,CSK,N,CSK,9.0,Yes,RD Gaikwad
2020/21,2020-10-31,RCB,SH,Sharjah Cricket Stadium,Mumbai,SH,field,RCB,SH,N,SH,5.0,Yes,Sandeep Sharma
2020/21,2020-10-31,DC,MI,Dubai International Cricket Stadium,Mumbai,MI,field,DC,MI,N,MI,9.0,Yes,Ishan Kishan
2020/21,2020-10-30,KXP,RR,Sheikh Zayed Stadium,Abu Dhabi,RR,field,KXP,RR,N,RR,7.0,Yes,BA Stokes
2020/21,2020-10-29,KKR,CSK,Dubai International Cricket Stadium,Mumbai,CSK,field,KKR,CSK,N,CSK,6.0,Yes,RD Gaikwad
2020/21,2020-10-28,RCB,MI,Sheikh Zayed Stadium,Abu Dhabi,MI,field,RCB,MI,N,MI,5.0,Yes,SA Yadav
2020/21,2020-10-27,SH,DC,Dubai International Cricket Stadium,Mumbai,DC,field,SH,DC,N,SH,88.0,No,WP Saha
2020/21,2020-10-26,KKR,KXP,Sharjah Cricket Stadium,Mumbai,KXP,field,KKR,KXP,N,KXP,8.0,Yes,CH Gayle
2020/21,2020-10-25,MI,RR,Sheikh Zayed Stadium,Abu Dhabi,MI,bat,MI,RR,N,RR,8.0,No,BA Stokes
2020/21,2020-10-25,RCB,CSK,Dubai International Cricket Stadium,Mumbai,RCB,bat,RCB,CSK,N,CSK,8.0,No,RD Gaikwad
2020/21,2020-10-24,KKR,DC,Sheikh Zayed Stadium,Abu Dhabi,DC,field,KKR,DC,N,KKR,59.0,No,CV Varun
2020/21,2020-10-24,KXP,SH,Dubai International Cricket Stadium,Mumbai,SH,field,KXP,SH,N,KXP,12.0,No,CJ Jordan
2020/21,2020-10-23,CSK,MI,Sharjah Cricket Stadium,Mumbai,MI,field,CSK,MI,N,MI,10.0,Yes,TA Boult
2020/21,2020-10-22,RR,SH,Dubai International Cricket Stadium,Mumbai,SH,field,RR,SH,N,SH,8.0,Yes,MK Pandey
2020/21,2020-10-21,KKR,RCB,Sheikh Zayed Stadium,Abu Dhabi,KKR,bat,KKR,RCB,N,RCB,8.0,No,Mohammed Siraj
2020/21,2020-10-20,DC,KXP,Dubai International Cricket Stadium,Mumbai,DC,bat,DC,KXP,N,KXP,5.0,No,S Dhawan
2020/21,2020-10-19,CSK,RR,Sheikh Zayed Stadium,Abu Dhabi,CSK,bat,CSK,RR,N,RR,7.0,No,JC Buttler
2020/21,2020-10-18,KKR,SH,Sheikh Zayed Stadium,Abu Dhabi,SH,field,KKR,SH,Y,KKR,17.0,No,LH Ferguson
2020/21,2020-10-18,MI,KXP,Dubai International Cricket Stadium,Mumbai,MI,bat,MI,KXP,Y,KXP,17.0,No,KL Rahul
2020/21,2020-10-17,RR,RCB,Dubai International Cricket Stadium,Mumbai,RR,bat,RR,RCB,N,RCB,7.0,No,AB de Villiers
2020/21,2020-10-17,CSK,DC,Sharjah Cricket Stadium,Mumbai,CSK,bat,CSK,DC,N,DC,5.0,No,S Dhawan
2020/21,2020-10-16,KKR,MI,Sheikh Zayed Stadium,Abu Dhabi,KKR,bat,KKR,MI,N,MI,8.0,No,Q de Kock
2020/21,2020-10-15,RCB,KXP,Sharjah Cricket Stadium,Mumbai,RCB,bat,RCB,KXP,N,KXP,8.0,No,KL Rahul
2020/21,2020-10-14,DC,RR,Dubai International Cricket Stadium,Mumbai,DC,bat,DC,RR,N,DC,13.0,Yes,A Nortje
2020/21,2020-10-13,CSK,SH,Dubai International Cricket Stadium,Mumbai,CSK,bat,CSK,SH,N,CSK,20.0,Yes,RA Jadeja
2020/21,2020-10-12,RCB,KKR,Sharjah Cricket Stadium,Mumbai,RCB,bat,RCB,KKR,N,RCB,82.0,Yes,AB de Villiers
2020/21,2020-10-11,DC,MI,Sheikh Zayed Stadium,Abu Dhabi,DC,bat,DC,MI,N,MI,5.0,No,Q de Kock
2020/21,2020-10-11,SH,RR,Dubai International Cricket Stadium,Mumbai,SH,bat,SH,RR,N,RR,5.0,No,R Tewatia
2020/21,2020-10-10,RCB,CSK,Dubai International Cricket Stadium,Mumbai,RCB,bat,RCB,CSK,N,RCB,37.0,Yes,V Kohli
2020/21,2020-10-10,KKR,KXP,Sheikh Zayed Stadium,Abu Dhabi,KKR,bat,KKR,KXP,N,KKR,2.0,Yes,KD Karthik
2020/21,2020-10-09,DC,RR,Sharjah Cricket Stadium,Mumbai,RR,field,DC,RR,N,DC,46.0,No,R Ashwin
2020/21,2020-10-08,SH,KXP,Dubai International Cricket Stadium,Mumbai,SH,bat,SH,KXP,N,SH,69.0,Yes,JM Bairstow
2020/21,2020-10-07,KKR,CSK,Sheikh Zayed Stadium,Abu Dhabi,KKR,bat,KKR,CSK,N,KKR,10.0,Yes,RA Tripathi
2020/21,2020-10-06,MI,RR,Sheikh Zayed Stadium,Abu Dhabi,MI,bat,MI,RR,N,MI,57.0,Yes,SA Yadav
2020/21,2020-10-05,DC,RCB,Dubai International Cricket Stadium,Mumbai,RCB,field,DC,RCB,N,DC,59.0,No,AR Patel
2020/21,2020-10-04,MI,SH,Sharjah Cricket Stadium,Mumbai,MI,bat,MI,SH,N,MI,34.0,Yes,TA Boult
2020/21,2020-10-04,KXP,CSK,Dubai International Cricket Stadium,Mumbai,KXP,bat,KXP,CSK,N,CSK,10.0,No,SR Watson
2020/21,2020-10-03,RR,RCB,Sheikh Zayed Stadium,Abu Dhabi,RR,bat,RR,RCB,N,RCB,8.0,No,YS Chahal
2020/21,2020-10-03,DC,KKR,Sharjah Cricket Stadium,Mumbai,KKR,field,DC,KKR,N,DC,18.0,No,SS Iyer
2020/21,2020-10-02,SH,CSK,Dubai International Cricket Stadium,Mumbai,SH,bat,SH,CSK,N,SH,7.0,Yes,PK Garg
2020/21,2020-10-01,MI,KXP,Sheikh Zayed Stadium,Abu Dhabi,KXP,field,MI,KXP,N,MI,48.0,No,KA Pollard
2020/21,2020-09-30,KKR,RR,Dubai International Cricket Stadium,Mumbai,RR,field,KKR,RR,N,KKR,37.0,No,Shivam Mavi
2020/21,2020-09-29,SH,DC,Sheikh Zayed Stadium,Abu Dhabi,DC,field,SH,DC,N,SH,15.0,No,Rashid Khan
2020/21,2020-09-28,RCB,MI,Dubai International Cricket Stadium,Mumbai,MI,field,RCB,MI,Y,RCB,17.0,No,AB de Villiers
2020/21,2020-09-27,KXP,RR,Sharjah Cricket Stadium,Mumbai,RR,field,KXP,RR,N,RR,4.0,Yes,SV Samson
2020/21,2020-09-26,SH,KKR,Sheikh Zayed Stadium,Abu Dhabi,SH,bat,SH,KKR,N,KKR,7.0,No,Shubman Gill
2020/21,2020-09-25,DC,CSK,Dubai International Cricket Stadium,Mumbai,CSK,field,DC,CSK,N,DC,44.0,No,PP Shaw
2020/21,2020-09-24,KXP,RCB,Dubai International Cricket Stadium,Mumbai,RCB,field,KXP,RCB,N,KXP,97.0,No,KL Rahul
